customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,France,Female,42,2,0.0,1,Yes,Active,101349.0,Left
15647311,608,Spain,Female,41,1,83808.0,1,No,Active,112543.0,Stayed
15619304,502,France,Female,42,8,159661.0,3,Yes,InActive,113932.0,Left
15701354,699,France,Female,39,1,0.0,2,No,InActive,93827.0,Stayed
15737888,850,Spain,Female,43,2,125511.0,1,Yes,Active,79084.0,Stayed
15574012,645,Spain,Male,44,8,113756.0,2,Yes,InActive,149757.0,Left
15592531,822,France,Male,50,7,0.0,2,Yes,Active,10063.0,Stayed
15656148,376,Germany,Female,29,4,115047.0,4,Yes,InActive,119347.0,Left
15792365,501,France,Male,44,4,142051.0,2,No,Active,74940.0,Stayed
15592389,684,France,Male,27,2,134604.0,1,Yes,Active,71726.0,Stayed
15767821,528,France,Male,31,6,102017.0,2,No,InActive,80181.0,Stayed
15737173,497,Spain,Male,24,3,0.0,2,Yes,InActive,76390.0,Stayed
15632264,476,France,Female,34,10,0.0,2,Yes,InActive,26261.0,Stayed
15691483,549,France,Female,25,5,0.0,2,No,InActive,190858.0,Stayed
15600882,635,Spain,Female,35,7,0.0,2,Yes,Active,65952.0,Stayed
15643966,616,Germany,Male,45,3,143129.0,2,No,Active,64327.0,Stayed
15737452,653,Germany,Male,58,1,132603.0,1,Yes,InActive,5098.0,Left
15788218,549,Spain,Female,24,9,0.0,2,Yes,Active,14406.0,Stayed
15661507,587,Spain,Male,45,6,0.0,1,No,InActive,158685.0,Stayed
15568982,726,France,Female,24,6,0.0,2,Yes,Active,54724.0,Stayed
15577657,732,France,Male,41,8,0.0,2,Yes,Active,170886.0,Stayed
15597945,636,Spain,Female,32,8,0.0,2,Yes,InActive,138555.0,Stayed
15699309,510,Spain,Female,38,4,0.0,1,Yes,InActive,118914.0,Left
15725737,669,France,Male,46,3,0.0,2,No,Active,8488.0,Stayed
15625047,846,France,Female,38,5,0.0,1,Yes,Active,187616.0,Stayed
15738191,577,France,Male,25,3,0.0,2,No,Active,124508.0,Stayed
15736816,756,Germany,Male,36,2,136816.0,1,Yes,Active,170042.0,Stayed
15700772,571,France,Male,44,9,0.0,2,No,InActive,38433.0,Stayed
15728693,574,Germany,Female,43,3,141349.0,1,Yes,Active,100187.0,Stayed
15656300,411,France,Male,29,0,59697.0,2,Yes,Active,53483.0,Stayed
15589475,591,Spain,Female,39,3,0.0,3,Yes,InActive,140469.0,Left
15706552,533,France,Male,36,7,85312.0,1,No,Active,156732.0,Stayed
15750181,553,Germany,Male,41,9,110113.0,2,No,InActive,81899.0,Stayed
15659428,520,Spain,Female,42,6,0.0,2,Yes,Active,34411.0,Stayed
15732963,722,Spain,Female,29,9,0.0,2,Yes,Active,142033.0,Stayed
15794171,475,France,Female,45,0,134264.0,1,Yes,InActive,27823.0,Left
15788448,490,Spain,Male,31,3,145260.0,1,No,Active,114067.0,Stayed
15729599,804,Spain,Male,33,7,76549.0,1,No,Active,98453.0,Stayed
15717426,850,France,Male,36,7,0.0,1,Yes,Active,40813.0,Stayed
15585768,582,Germany,Male,41,6,70349.0,2,No,Active,178074.0,Stayed
15619360,472,Spain,Male,40,4,0.0,1,Yes,InActive,70154.0,Stayed
15738148,465,France,Female,51,8,122522.0,1,No,InActive,181298.0,Left
15687946,556,France,Female,61,2,117419.0,1,Yes,Active,94154.0,Stayed
15755196,834,France,Female,49,2,131395.0,1,No,InActive,194366.0,Left
15684171,660,Spain,Female,61,5,155931.0,1,Yes,Active,158338.0,Stayed
